Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SUP, Southwind (14480496), Southwind,14480496,SUP,6200,BLG@iG 04/12/2020 05:30AM ET,iG,61.12
ADC, Wings (14480562), Wings,14480562,ADC,6200,BLG@iG 04/12/2020 05:30AM ET,BLG,0
TOP, Doran (14480480), Doran,14480480,TOP,6000,DRX@AF 04/12/2020 04:00AM ET,DRX,60.87
MID, Fly (14480546), Fly,14480546,MID,6000,DRX@AF 04/12/2020 04:00AM ET,AF,46.83
MID, Tempt (14480495), Tempt,14480495,MID,6000,HLE@GEN 04/12/2020 05:30AM ET,HLE,50.87
ADC, Zenit (14480563), Zenit,14480563,ADC,6000,HLE@GEN 04/12/2020 05:30AM ET,HLE,22.63
SUP, SwordArt (14480497), SwordArt,14480497,SUP,6000,SN@DMO 04/12/2020 02:00AM ET,SN,49.74
JNG, JieJie (14480512), JieJie,14480512,JNG,6000,FPX@EDG 04/12/2020 04:00AM ET,EDG,84.82
TEAM, Invictus Gaming (14480526), Invictus Gaming,14480526,TEAM,6000,BLG@iG 04/12/2020 05:30AM ET,iG,44.25
SUP, Baolan (14480548), Baolan,14480548,SUP,6000,BLG@iG 04/12/2020 05:30AM ET,iG,0
SUP, Fate (14480549), Fate,14480549,SUP,6000,BLG@iG 04/12/2020 05:30AM ET,iG,0
TEAM, Bilibili Gaming (14480623), Bilibili Gaming,14480623,CPT,6000,BLG@iG 04/12/2020 05:30AM ET,BLG,42.92
SUP, Moonlight (14480640), Moonlight,14480640,CPT,6000,BLG@iG 04/12/2020 05:30AM ET,BLG,0
TEAM, Gen.G (14480527), Gen.G,14480527,TEAM,5800,HLE@GEN 04/12/2020 05:30AM ET,GEN,54.62
MID, Lava (14480547), Lava,14480547,MID,5800,HLE@GEN 04/12/2020 05:30AM ET,HLE,24.39
TOP, Natural (14480481), Natural,14480481,TOP,5800,SN@DMO 04/12/2020 02:00AM ET,DMO,48.23
SUP, Crisp (14480498), Crisp,14480498,SUP,5800,FPX@EDG 04/12/2020 04:00AM ET,FPX,62.56
JNG, Xinyi (14480556), Xinyi,14480556,JNG,5800,FPX@EDG 04/12/2020 04:00AM ET,EDG,0
JNG, JunJia (14480557), JunJia,14480557,JNG,5800,FPX@EDG 04/12/2020 04:00AM ET,EDG,61.67
JNG, Meteor (14480513), Meteor,14480513,JNG,5800,BLG@iG 04/12/2020 05:30AM ET,BLG,55.78
SUP, Keria (14480499), Keria,14480499,SUP,5600,DRX@AF 04/12/2020 04:00AM ET,DRX,57.93
JNG, Spirit (14480514), Spirit,14480514,JNG,5600,DRX@AF 04/12/2020 04:00AM ET,AF,45.03
TEAM, DragonX (14480528), DragonX,14480528,TEAM,5600,DRX@AF 04/12/2020 04:00AM ET,DRX,49.62
TOP, melody (14480539), melody,14480539,TOP,5600,SN@DMO 04/12/2020 02:00AM ET,DMO,10.02
TOP, Jinoo (14480482), Jinoo,14480482,TOP,5600,FPX@EDG 04/12/2020 04:00AM ET,EDG,71.14
TOP, Kiin (14480483), Kiin,14480483,TOP,5400,DRX@AF 04/12/2020 04:00AM ET,AF,53.01
JNG, Dread (14480558), Dread,14480558,JNG,5400,DRX@AF 04/12/2020 04:00AM ET,AF,20.06
SUP, Life (14480500), Life,14480500,SUP,5400,HLE@GEN 04/12/2020 05:30AM ET,GEN,55.86
JNG, Haru (14480515), Haru,14480515,JNG,5400,HLE@GEN 04/12/2020 05:30AM ET,HLE,46.43
